dcterms:title,dcterms:spatial,dcterms:date,art:url
FN-62A,"28.644800, 77.216721",1879,https://scalar.usc.edu/works/decoding-diaspora/media/FN-62A.jpg
FN-62C,"51.507359,  -0.136439",1951,https://scalar.usc.edu/works/decoding-diaspora/media/FN-62C.jpg
FN-62D,"48.858093,  2.294694",1909,https://scalar.usc.edu/works/decoding-diaspora/media/FN-62D.jpg
FN-63A," 37.541290, -77.434769",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-63A.jpg
FN-63C," -15.793889, -47.882778",1519,https://scalar.usc.edu/works/decoding-diaspora/media/FN-63C.jpg
FN-63D,"7.376736,  3.939786",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-63D.jpg
FN-64A,,1683,https://scalar.usc.edu/works/decoding-diaspora/media/FN-64A.jpg
FN-64C,,300BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-64C.jpg
FN-65A,"40.367474, -82.996216",1818 - 1907,https://scalar.usc.edu/works/decoding-diaspora/media/FN-65A.jpg
FN-65C,"40.416775, -3.703790",1734 - 1770 ,https://scalar.usc.edu/works/decoding-diaspora/media/FN-65C.jpg
FN-65D,"45.523064, -122.676483",7/12/1849,https://scalar.usc.edu/works/decoding-diaspora/media/FN-65D.jpg
FN-66A,"9.30769, 2.315834",1831 - 1906,https://scalar.usc.edu/works/decoding-diaspora/media/FN-66A.jpg
FN-66B,"40.7128, 74.0060",1821,https://scalar.usc.edu/works/decoding-diaspora/media/FN-66B.jpg
FN-66D,"30.033333, 31.233332",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-66D.jpg
FN-67A,"39.998089,  -75.134109",1848 - 1919,https://scalar.usc.edu/works/decoding-diaspora/media/FN-67A.jpg
FN-67C,"37.983810, 23.72753",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-67C.jpg
FN-67D,"41.40338, 2.17403",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-67D.jpg
FN-68A,"49.250, 3.080",1941,https://scalar.usc.edu/works/decoding-diaspora/media/FN-68A.jpg
FN-68C,"32.776566, -79.930923",1961,https://scalar.usc.edu/works/decoding-diaspora/media/FN-68C.jpg
FN-68D,"5.614818, -0.205874",300 - 1200,https://scalar.usc.edu/works/decoding-diaspora/media/FN-68D.jpg
